Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
2016-12-13,22.522499,23.0725,22.512501,22.7925,22.466982,38779600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2016-12-14,23.135,24.2775,22.8925,24.112499,23.768124,98398000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
2016-12-15,24.225,24.985001,24.15,24.6775,24.325062,74654800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28925
2016-12-16,24.9575,25.174999,24.432501,25.102501,24.743992,108952800,,,,,,,,,
2016-12-19,24.924999,25.612499,24.75,25.407499,25.044638,74465600,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3194
2016-12-20,26.145,26.532499,26.030001,26.2925,25.916994,84805600,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2016-12-21,26.41,26.487499,25.9275,26.4575,26.079638,57613600,,,,,,,,,
2016-12-22,26.705,27.217501,26.6325,26.7775,26.395071,71861200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2016-12-23,26.594999,27.459999,26.567499,27.445,27.053032,64769200,,,,,,,,,
2016-12-27,28.014999,29.34,27.805,29.33,28.911118,119427200,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3194
2016-12-28,29.9,29.9825,27.172501,27.3125,26.922434,229576400,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23665000000000003
2016-12-29,26.225,27.872499,25.700001,27.8575,27.459646,217536800,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23665000000000003
2016-12-30,27.8375,27.98,26.575001,26.684999,26.30389,121293200,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-01-03,26.1,26.592501,24.844999,25.502501,25.138283,150199600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-01-04,25.85,26.375,25.3825,26.0975,25.724779,119922000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-01-05,26.1325,26.455,25.262501,25.434999,25.071743,98429600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4742
2017-01-06,25.7125,26.0625,25.299999,25.775,25.406885,82285600,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-01-09,25.875,27.0,25.875,26.82,26.436964,91624800,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
2017-01-10,26.952499,27.297501,26.407499,26.6175,26.237356,88092000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3409
2017-01-11,26.5,26.549999,26.0375,26.290001,25.914534,52566400,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
2017-01-12,26.057501,26.174999,25.405001,25.860001,25.490673,62561600,,,,,,,,,
2017-01-13,25.9,26.25,25.764999,25.8575,25.488207,45782000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74695
2017-01-17,25.75,25.799999,25.1425,25.2775,24.916491,58061200,,,,,,,,,
2017-01-18,25.059999,25.807501,24.7775,25.737499,25.369923,65442400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77815
2017-01-19,25.7675,26.615,25.745001,26.290001,25.914534,64487200,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
2017-01-20,26.52,26.700001,25.780001,26.002501,25.631134,49202400,,,,,,,,,
2017-01-23,25.950001,26.475,25.924999,26.272499,25.89728,36990400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-01-24,26.375,26.895,26.225,26.8325,26.449282,42805200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7202
2017-01-25,27.262501,27.325001,26.5825,26.9475,26.562641,52276000,,,,,,,,,
2017-01-26,26.975,27.487499,26.674999,27.4125,27.021,45880000,,,,,,,,,
2017-01-27,27.4825,27.9725,27.2125,27.942499,27.543436,47199600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.648
2017-01-30,27.73,27.752501,26.977501,27.504999,27.112185,49600400,,,,,,,,,
2017-01-31,27.237499,27.512501,27.049999,27.295,26.905178,36275600,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.76335
2017-02-01,27.645,28.530001,27.465,28.487499,28.080645,59000400,,,,,,,,,
2017-02-02,28.325001,28.934999,28.014999,28.8475,28.435505,48324000,,,,,,,,,
2017-02-03,28.862499,28.975,28.475,28.594999,28.186611,37274400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.60115
2017-02-06,28.5,29.3325,28.5,29.327499,28.908642,50676800,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
2017-02-07,29.674999,30.23,29.475,29.782499,29.357153,74622400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.352
2017-02-08,29.6,29.827499,29.094999,29.6525,29.229006,44958000,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.21405000000000002
2017-02-09,29.715,29.764999,28.9,29.094999,28.679466,84256800,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.42345
2017-02-10,29.9825,30.174999,28.15,28.405001,27.999332,165109200,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21405000000000002
2017-02-13,28.3475,28.495001,27.049999,27.094999,26.708036,118072400,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-02-14,26.997499,27.5375,26.5725,27.195,26.806602,85063200,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5
2017-02-15,27.225,27.450001,26.940001,27.25,26.860821,37302000,,,,,,,,,
2017-02-16,27.3475,27.360001,26.415001,26.8125,26.429567,64717600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-02-17,26.674999,26.852501,26.1975,26.807501,26.424643,56374000,,,,,,,,,
2017-02-21,27.057501,27.807501,27.055,27.7675,27.370926,55195200,,,,,,,,,
2017-02-22,27.855,27.950001,27.497499,27.690001,27.328987,43377200,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
2017-02-23,26.375,26.5975,24.92,25.122499,24.794954,159288800,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.352
2017-02-24,24.2675,25.5,23.924999,25.365,25.034296,102990400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3194
2017-02-27,25.549999,26.254999,25.389999,26.102501,25.762177,71540000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-02-28,26.200001,26.299999,25.195,25.370001,25.039232,62536000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-03-01,25.9475,26.092501,25.2775,25.6975,25.362461,50480400,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-03-02,25.567499,25.709999,24.7225,24.75,24.427311,75433200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41105
2017-03-03,24.6425,24.692499,24.055,24.6075,24.286673,86469200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-03-06,24.24,24.525,23.7925,24.4175,24.099148,88356800,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.648
2017-03-07,24.4175,24.8825,24.2875,24.684999,24.363161,60340000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625
2017-03-08,25.174999,25.325001,24.6175,24.639999,24.318748,63871200,,,,,,,,,
2017-03-09,24.477501,24.862499,24.35,24.635,24.313814,47806000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85015
2017-03-10,24.9025,25.022499,24.594999,24.780001,24.456924,49974000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.648
2017-03-13,24.885,25.5625,24.877501,25.4625,25.130527,77413600,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.29905000000000004
2017-03-14,25.592501,25.6875,25.1175,25.445,25.113253,52201600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-03-15,25.5625,25.747499,25.08,25.637501,25.303244,61503600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-03-16,25.745001,25.9575,25.602501,25.952499,25.614138,52310000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-03-17,26.129999,26.530001,25.952499,26.5175,26.171774,111968800,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.21405000000000002
