Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_Random
2016-03-28,108.410004,108.900002,108.059998,108.230003,87.869766,4738100,,,,,,,,,,
2016-03-29,108.300003,109.25,107.739998,109.139999,88.608612,6612800,,,,,,,,,,
2016-03-30,109.449997,109.559998,108.93,108.980003,88.478699,5248200,,,,,,,,,,
2016-03-31,108.860001,108.980003,108.040001,108.199997,87.845406,8167700,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-04-01,108.0,109.290001,107.690002,109.190002,88.64917,9043200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-04-04,108.82,109.099998,108.260002,108.589996,88.162056,10668900,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-04-05,108.230003,109.839996,108.010002,108.949997,88.454323,7939000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-06,108.720001,109.5,107.879997,109.419998,88.835915,6828700,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-04-07,109.0,109.620003,108.629997,109.269997,88.714127,7822900,,,,,,,,,,
2016-04-08,109.370003,109.639999,108.760002,109.099998,88.576111,6301600,,,,,,,,,,
2016-04-11,109.150002,109.620003,108.650002,108.970001,88.470589,6823900,,,,,,,,,,
2016-04-12,109.0,110.239998,108.75,109.599998,88.982063,8412300,,,,,,,,,,
2016-04-13,110.0,110.349998,109.309998,109.870003,89.201241,5758300,,,,,,,,,,
2016-04-14,110.0,110.290001,109.449997,109.839996,89.176895,4457100,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-04-15,110.07,110.400002,109.5,110.18,89.452934,10057900,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-04-18,110.0,111.099998,109.669998,110.93,90.061844,7772500,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
