Date,Open,High,Low,Close,Adj Close,Volume
2011-08-24,3.300000,3.310000,3.175000,3.260000,2.990808,68750000
2011-08-25,3.195000,3.252500,3.115000,3.120000,2.862368,69096800
2011-08-26,3.107500,3.285000,3.052500,3.252500,2.983927,73266000
2011-08-29,3.345000,3.352500,3.267500,3.340000,3.064202,60152800
2011-08-30,3.317500,3.447500,3.295000,3.420000,3.137597,68476000
2011-08-31,3.445000,3.480000,3.300000,3.327500,3.052735,70580800
2011-09-01,3.372500,3.445000,3.317500,3.320000,3.045854,76231200
2011-09-02,3.245000,3.290000,3.205000,3.230000,2.963286,47135600
2011-09-06,3.125000,3.302500,3.095000,3.295000,3.022918,69624800
2011-09-07,3.562500,3.660000,3.465000,3.562500,3.268329,160662000
2011-09-08,3.527500,3.612500,3.487500,3.545000,3.252275,88016400
2011-09-09,3.515000,3.610000,3.440000,3.470000,3.183467,86982800
2011-09-12,3.422500,3.582500,3.422500,3.552500,3.259156,91648000
2011-09-13,3.582500,3.650000,3.527500,3.632500,3.332550,85383600
2011-09-14,3.727500,3.867500,3.725000,3.820000,3.504567,154719200
2011-09-15,3.905000,3.925000,3.840000,3.875000,3.555025,75290800
2011-09-16,3.882500,4.025000,3.845000,3.865000,3.545850,139158800
2011-09-19,3.800000,3.827500,3.687500,3.785000,3.472457,96820400
2011-09-20,3.832500,3.847500,3.670000,3.687500,3.383008,79243600
2011-09-21,3.707500,3.772500,3.615000,3.617500,3.318788,71525200
2011-09-22,3.475000,3.480000,3.312500,3.377500,3.098607,131463200
2011-09-23,3.357500,3.545000,3.337500,3.447500,3.162825,101144000
2011-09-26,3.490000,3.500000,3.300000,3.455000,3.169706,97212400
2011-09-27,3.542500,3.572500,3.432500,3.460000,3.174294,78138800
2011-09-28,3.467500,3.555000,3.300000,3.355000,3.077964,123653200
2011-09-29,3.415000,3.472500,3.187500,3.272500,3.002276,86641600
2011-09-30,3.220000,3.237500,3.122500,3.127500,2.869249,67778400
2011-10-03,3.087500,3.185000,2.952500,2.952500,2.708700,94989600
2011-10-04,2.880000,3.225000,2.867500,3.225000,2.958699,136154800
2011-10-05,3.217500,3.370000,3.152500,3.340000,3.064202,85670800
2011-10-06,3.357500,3.482500,3.352500,3.472500,3.185761,77319200
2011-10-07,3.487500,3.590000,3.415000,3.537500,3.245393,80697600
2011-10-10,3.597500,3.695000,3.590000,3.695000,3.389889,53437600
2011-10-11,3.665000,3.725000,3.642500,3.655000,3.353191,81608000
2011-10-12,3.725000,3.727500,3.650000,3.652500,3.350899,61206400
2011-10-13,3.635000,3.872500,3.625000,3.865000,3.545850,85483200
2011-10-14,3.932500,3.972500,3.835000,3.930000,3.605484,70245200
2011-10-17,3.885000,3.885000,3.715000,3.735000,3.426586,61178000
2011-10-18,3.715000,3.880000,3.692500,3.870000,3.550437,59091600
2011-10-19,3.875000,3.942500,3.782500,3.792500,3.479338,55756800
2011-10-20,3.690000,3.705000,3.460000,3.602500,3.305027,99030800
2011-10-21,3.647500,3.707500,3.560000,3.620000,3.321082,62842800
2011-10-24,3.635000,3.812500,3.627500,3.755000,3.444934,53525600
2011-10-25,3.702500,3.732500,3.605000,3.612500,3.314201,57799600
2011-10-26,3.682500,3.702500,3.550000,3.655000,3.353191,50311600
2011-10-27,3.790000,3.850000,3.705000,3.812500,3.497686,57773200
2011-10-28,3.780000,3.935000,3.770000,3.900000,3.577961,49015600
2011-10-31,3.775000,3.797500,3.700000,3.700000,3.394476,51998400
2011-11-01,3.565000,3.575000,3.480000,3.515000,3.224752,79082400
2011-11-02,3.550000,3.567500,3.382500,3.455000,3.169706,96160800
2011-11-03,3.492500,3.670000,3.400000,3.662500,3.360072,74937200
2011-11-04,3.630000,3.717500,3.572500,3.705000,3.399062,65484000
2011-11-07,3.677500,3.740000,3.600000,3.685000,3.380714,61353600
2011-11-08,3.732500,3.792500,3.672500,3.770000,3.458695,54972800
2011-11-09,3.682500,3.730000,3.565000,3.580000,3.284384,53224400
2011-11-10,3.667500,3.705000,3.527500,3.617500,3.318788,99048400
2011-11-11,3.720000,3.775000,3.517500,3.745000,3.435760,175156000
2011-11-14,3.745000,3.782500,3.662500,3.672500,3.369247,50029200
2011-11-15,3.637500,3.747500,3.627500,3.720000,3.412825,50566000
2011-11-16,3.650000,3.747500,3.632500,3.645000,3.344017,51242000
2011-11-17,3.637500,3.647500,3.450000,3.515000,3.224752,65750400
2011-11-18,3.535000,3.535000,3.445000,3.482500,3.194936,50135200
2011-11-21,3.427500,3.692500,3.375000,3.657500,3.355485,133078800
2011-11-22,3.697500,3.790000,3.677500,3.770000,3.458695,128748000
2011-11-23,3.730000,3.757500,3.607500,3.610000,3.311907,82534000
2011-11-25,3.562500,3.645000,3.500000,3.510000,3.220165,40662000
2011-11-28,3.625000,3.762500,3.625000,3.707500,3.401357,69061600
2011-11-29,3.702500,3.775000,3.667500,3.727500,3.419705,62344000
2011-11-30,3.840000,3.917500,3.807500,3.907500,3.584841,73032400
2011-12-01,3.875000,3.965000,3.857500,3.955000,3.628419,52976000
2011-12-02,3.997500,4.012500,3.892500,3.930000,3.605484,54646400
2011-12-05,3.995000,4.000000,3.837500,3.870000,3.550437,64469600
2011-12-06,3.892500,3.900000,3.775000,3.815000,3.499980,57383200
2011-12-07,3.790000,3.820000,3.712500,3.792500,3.479338,51001600
2011-12-08,3.755000,3.817500,3.660000,3.672500,3.369247,49148800
2011-12-09,3.645000,3.755000,3.595000,3.725000,3.417411,55584000
2011-12-12,3.645000,3.660000,3.565000,3.632500,3.332550,57320800
2011-12-13,3.680000,3.725000,3.510000,3.532500,3.240808,51659600
2011-12-14,3.502500,3.522500,3.357500,3.395000,3.114661,63602000
2011-12-15,3.452500,3.475000,3.357500,3.365000,3.087139,43514800
2011-12-16,3.392500,3.457500,3.362500,3.377500,3.098607,61911600
2011-12-19,3.392500,3.432500,3.277500,3.290000,3.018332,46327600
2011-12-20,3.365000,3.487500,3.365000,3.475000,3.188055,44520800
2011-12-21,3.455000,3.492500,3.362500,3.430000,3.146771,54842400
2011-12-22,3.440000,3.587500,3.440000,3.577500,3.282091,57656000
2011-12-23,3.595000,3.600000,3.512500,3.542500,3.249981,24894800
2011-12-27,3.527500,3.570000,3.505000,3.515000,3.224752,19571200
2011-12-28,3.515000,3.522500,3.425000,3.427500,3.144477,23396000
2011-12-29,3.462500,3.500000,3.412500,3.492500,3.204110,21111200
